feature,importance
https,0.3392989389282876
special_char_count,0.3370825071460402
length,0.12608988128004592
dot_count,0.09694667718079979
subdomain_count,0.040118631482399796
domain_length,0.033403494740958585
hyphen_count,0.01886293204600033
shortener,0.006561340423071282
suspicious_word_count,0.0009346353239428186
contains_ip,0.00036242104872526946
risky_tld,0.00018577292628260594
has_at,0.00015276747344586145
